day_name,crash_hour,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable
Monday,16,4360,1890,0.4334862385321101,0.41884138742413735,0.44824819712906916,43.34862385321101,41.88413874241373,44.824819712906915,True
Monday,17,4416,1929,0.436820652173913,0.42225275970315057,0.4514983720116149,43.682065217391305,42.22527597031506,45.14983720116149,True
Monday,18,3761,1792,0.47646902419569265,0.4605389560009276,0.4924471138512543,47.646902419569265,46.05389560009276,49.24471138512543,True
Monday,19,3173,1414,0.44563504569807755,0.4284165984673214,0.46298497471781963,44.563504569807755,42.84165984673214,46.298497471781964,True
Monday,20,2721,1240,0.4557148107313488,0.43707698390405775,0.4744775079240177,45.571481073134876,43.707698390405774,47.44775079240177,True
Monday,21,2417,1125,0.4654530409598676,0.44563751816735236,0.4853782079338515,46.545304095986765,44.563751816735234,48.53782079338515,True
Monday,22,2106,916,0.4349477682811016,0.41391181090083334,0.4562206198939714,43.49477682811016,41.391181090083336,45.62206198939714,True
Monday,23,1840,773,0.4201086956521739,0.3977451959634146,0.4428050985955106,42.01086956521739,39.77451959634146,44.28050985955106,True
Tuesday,0,2557,989,0.38678138443488463,0.3680877060786834,0.40581474848937743,38.678138443488464,36.80877060786834,40.581474848937745,True
Tuesday,1,1023,334,0.32649071358748777,0.2984503584071785,0.3558293279631439,32.64907135874878,29.84503584071785,35.582932796314395,True
Tuesday,2,715,230,0.32167832167832167,0.2884697738794405,0.3567928263929977,32.16783216783217,28.84697738794405,35.67928263929977,True
Tuesday,3,695,221,0.31798561151079136,0.2844440039501597,0.35352832053653366,31.798561151079134,28.44440039501597,35.352832053653366,True
Tuesday,4,683,225,0.3294289897510981,0.2952196079923725,0.36554642598110837,32.942898975109806,29.521960799237252,36.55464259811084,True
Tuesday,5,1076,370,0.34386617100371747,0.31608485028313915,0.3727584022827927,34.386617100371744,31.608485028313915,37.27584022827927,True
Tuesday,6,1982,713,0.35973763874873865,0.33889881321569804,0.3811191378635824,35.97376387487387,33.8898813215698,38.111913786358244,True
Tuesday,7,2967,1151,0.3879339400067408,0.37055582250672575,0.4056018831077371,38.793394000674084,37.05558225067257,40.56018831077371,True
