crash_hour,n,casualty_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,road_user,hour_label
9,22228,948,0.0426489112830664,0.040070582161188674,0.04538529838088932,4.26489112830664,4.0070582161188675,4.538529838088932,True,Cyclist,9 AM
10,21416,924,0.043145311916324244,0.04050495676965958,0.04594953876685269,4.314531191632424,4.050495676965958,4.594953876685269,True,Cyclist,10 AM
11,22432,1097,0.048903352353780315,0.04615747315684545,0.05180371052346721,4.890335235378031,4.615747315684545,5.180371052346721,True,Cyclist,11 AM
12,24104,1307,0.05422336541652838,0.05143484509595912,0.05715395532157804,5.422336541652838,5.143484509595912,5.715395532157804,True,Cyclist,12 PM
13,24517,1384,0.05645062609617816,0.05363056227965371,0.05940966877016473,5.645062609617816,5.363056227965371,5.940966877016473,True,Cyclist,1 PM
14,28099,1522,0.05416562867005943,0.0515795026727744,0.05687364393002325,5.416562867005943,5.15795026727744,5.6873643930023245,True,Cyclist,2 PM
15,29165,1749,0.05996914109377679,0.05730169784379556,0.06275249038972006,5.996914109377679,5.730169784379556,6.275249038972006,True,Cyclist,3 PM
16,30469,1924,0.0631461485444222,0.060469746037498946,0.06593269619486576,6.31461485444222,6.046974603749895,6.593269619486576,True,Cyclist,4 PM
17,30591,2036,0.06655552286620248,0.06381643471353654,0.06940346076060769,6.655552286620248,6.381643471353654,6.940346076060769,True,Cyclist,5 PM
18,27521,1960,0.07121834235674576,0.06823918728545517,0.07431718622697224,7.1218342356745765,6.823918728545516,7.431718622697224,True,Cyclist,6 PM
19,24301,1790,0.07365952018435455,0.07044216829316217,0.07701164601188558,7.365952018435455,7.044216829316217,7.701164601188558,True,Cyclist,7 PM
20,21274,1438,0.06759424649807276,0.06429815326973712,0.0710464767983803,6.759424649807276,6.429815326973712,7.10464767983803,True,Cyclist,8 PM
21,19539,1241,0.06351399764573418,0.060179341080992516,0.06702025715962366,6.351399764573418,6.017934108099252,6.702025715962366,True,Cyclist,9 PM
22,18180,1000,0.05500550055005501,0.05178434327972832,0.05841468089126975,5.500550055005501,5.178434327972832,5.841468089126975,True,Cyclist,10 PM
23,16504,705,0.042716917111003394,0.03973666936833048,0.04590999688027224,4.271691711100339,3.973666936833048,4.590999688027224,True,Cyclist,11 PM
0,22133,5905,0.26679618668955857,0.2610101145359957,0.2726631986434237,26.679618668955857,26.101011453599572,27.26631986434237,True,Motorist,12 AM
1,11741,3142,0.26760923260369646,0.2596781673209069,0.2756923224777806,26.760923260369644,25.967816732090693,27.569232247778057,True,Motorist,1 AM
2,9489,2522,0.265781431130783,0.2569891649401026,0.27476326628133474,26.5781431130783,25.69891649401026,27.476326628133474,True,Motorist,2 AM
3,8678,2374,0.27356533763539986,0.2642876719732953,0.28304339197977213,27.356533763539986,26.428767197329528,28.304339197977214,True,Motorist,3 AM
4,9600,2623,0.2732291666666667,0.26440699065571377,0.2822327623364639,27.322916666666668,26.440699065571376,28.223276233646388,True,Motorist,4 AM
5,9847,2538,0.25774347517010254,0.24919988929781803,0.2664760099065708,25.774347517010256,24.919988929781802,26.64760099065708,True,Motorist,5 AM
6,13309,3165,0.2378090014276054,0.23065212582282169,0.2451171945302425,23.78090014276054,23.065212582282168,24.51171945302425,True,Motorist,6 AM
7,17653,4218,0.2389395570158047,0.23270606305034455,0.24528664885119958,23.89395570158047,23.270606305034455,24.52866488511996,True,Motorist,7 AM
8,25124,5621,0.22373029772329248,0.2186195149477467,0.22892555394507857,22.373029772329247,21.86195149477467,22.89255539450786,True,Motorist,8 AM
9,22228,4957,0.22300701817527444,0.21758279748900775,0.22852696608541434,22.300701817527443,21.758279748900776,22.852696608541436,True,Motorist,9 AM
10,21416,4577,0.2137187149794546,0.2082799977061898,0.21926012005079676,21.37187149794546,20.82799977061898,21.926012005079677,True,Motorist,10 AM
11,22432,5195,0.23158880171184024,0.2261145511786598,0.23715497021072274,23.158880171184023,22.61145511786598,23.715497021072274,True,Motorist,11 AM
12,24104,5469,0.2268918021905078,0.22164817788391203,0.2322224664295963,22.68918021905078,22.164817788391204,23.22224664295963,True,Motorist,12 PM
13,24517,5987,0.24419790349553372,0.23886054060197678,0.24961541774359647,24.419790349553374,23.88605406019768,24.961541774359645,True,Motorist,1 PM
14,28099,6830,0.24306914836826934,0.23808911220034462,0.24811942836232936,24.306914836826934,23.808911220034464,24.811942836232937,True,Motorist,2 PM
15,29165,7302,0.25036859249099946,0.24542959923971724,0.2553733397429539,25.036859249099948,24.542959923971726,25.53733397429539,True,Motorist,3 PM
16,30469,7484,0.2456267025501329,0.2408255111536915,0.2504920297742934,24.56267025501329,24.08255111536915,25.049202977429342,True,Motorist,4 PM
17,30591,7190,0.23503644862868164,0.2303182199606521,0.23982121687826916,23.503644862868164,23.03182199606521,23.982121687826915,True,Motorist,5 PM
18,27521,6562,0.2384361033392682,0.2334382495388236,0.24350696928488796,23.843610333926822,23.34382495388236,24.350696928488798,True,Motorist,6 PM
19,24301,5871,0.24159499609069585,0.23625417330145076,0.24701750537511385,24.159499609069584,23.625417330145076,24.701750537511387,True,Motorist,7 PM
20,21274,5358,0.2518567265206355,0.2460687653749564,0.25773428953640254,25.185672652063552,24.60687653749564,25.773428953640256,True,Motorist,8 PM
21,19539,5304,0.2714570858283433,0.2652667931536832,0.27773722935244,27.14570858283433,26.52667931536832,27.773722935244,True,Motorist,9 PM
22,18180,5006,0.27535753575357536,0.26891214686566434,0.28189784259222883,27.535753575357536,26.891214686566435,28.189784259222883,True,Motorist,10 PM
23,16504,4656,0.28211342704798836,0.2752987841076021,0.28902948034581977,28.211342704798838,27.52987841076021,28.902948034581975,True,Motorist,11 PM
