crash_hour,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,fatal_crashes,fatal_per_1k,fatal_per_1k_low,fatal_per_1k_high,share_of_all_crashes_pct,hour_label,n_excl_placeholder,fatal_crashes_excl_placeholder,fatal_per_1k_excl_placeholder,fatal_per_1k_excl_low,fatal_per_1k_excl_high
10,21416,7458,0.3482443033246171,0.3418912905266864,0.35465175020242884,34.82443033246171,34.18912905266864,35.46517502024288,True,46,2.1479267837131117,1.6108203243064374,2.8636105230253186,4.389298114011895,10 AM,21416,46,2.1479267837131117,1.6108203243064374,2.8636105230253186
11,22432,8452,0.37678316690442226,0.37046333968788075,0.3831451899783297,37.67831669044222,37.046333968788076,38.31451899783297,True,37,1.649429386590585,1.1969489407113418,2.272571008119104,4.597531532196248,11 AM,22432,37,1.649429386590585,1.1969489407113418,2.272571008119104
12,24104,9168,0.38035180882841024,0.37424251378097156,0.38649923590764423,38.035180882841026,37.42425137809715,38.64992359076442,True,42,1.742449385994026,1.2894180788729284,2.3542760127623836,4.9402148739327005,12 PM,24104,42,1.742449385994026,1.2894180788729284,2.3542760127623836
13,24517,9871,0.40261859118162907,0.39649534435210626,0.408772350864358,40.26185911816291,39.649534435210626,40.877235086435796,True,52,2.1209772810702776,1.6178880340245443,2.7800686821103535,5.024860938608033,1 PM,24517,52,2.1209772810702776,1.6178880340245443,2.7800686821103535
14,28099,11565,0.4115804832912203,0.4058387956142147,0.4173463444963142,41.15804832912203,40.58387956142147,41.73463444963142,True,53,1.886188120573686,1.442431547346401,2.466126938070248,5.759006710198928,2 PM,28099,53,1.886188120573686,1.442431547346401,2.466126938070248
15,29165,12444,0.42667581004628835,0.42100941647527523,0.4323615175284941,42.667581004628836,42.10094164752752,43.23615175284941,True,44,1.5086576375792902,1.124083451777281,2.024536615465979,5.977487835971093,3 PM,29165,44,1.5086576375792902,1.124083451777281,2.024536615465979
16,30469,12851,0.4217729495552857,0.4162379735737112,0.42732764913474025,42.17729495552857,41.62379735737112,42.73276491347403,True,33,1.0830680363648297,0.7713361331970235,1.5205932154594537,6.244748049861246,4 PM,30469,33,1.0830680363648297,0.7713361331970235,1.5205932154594537
17,30591,13324,0.43555294040730935,0.4300050035377664,0.44111706169299464,43.555294040730935,43.00050035377664,44.11170616929947,True,53,1.7325357131182373,1.3249075913594646,2.265292398432278,6.2697524563755085,5 PM,30591,53,1.7325357131182373,1.3249075913594646,2.265292398432278
18,27521,12353,0.4488572362922859,0.4429883963869427,0.4547403520320854,44.88572362922859,44.29883963869427,45.474035203208544,True,74,2.6888557828567277,2.1425634990591935,3.373965976627235,5.640543210483815,6 PM,27521,74,2.6888557828567277,2.1425634990591935,3.373965976627235
19,24301,11002,0.45273857042920046,0.44648810403779,0.45900397701325474,45.27385704292005,44.648810403779,45.900397701325474,True,68,2.798238755606765,2.2080769576790678,3.5455750225091114,4.9805908418286835,7 PM,24301,68,2.798238755606765,2.2080769576790678,3.5455750225091114
20,21274,9624,0.4523831907492714,0.4457039725802355,0.4590796028365492,45.23831907492714,44.57039725802355,45.90796028365492,True,57,2.679326877879101,2.068755567205845,3.469475340575703,4.360194624462508,8 PM,21274,57,2.679326877879101,2.068755567205845,3.469475340575703
21,19539,8852,0.45304263268335127,0.44607261140748045,0.4600311150843722,45.30426326833513,44.607261140748044,46.00311150843722,True,73,3.7361175085725984,2.972743857474361,4.694595573859923,4.00459917116541,9 PM,19539,73,3.7361175085725984,2.972743857474361,4.694595573859923
22,18180,7847,0.43162816281628164,0.42444338996789704,0.43884182474712774,43.16281628162816,42.4443389967897,43.88418247471277,True,76,4.180418041804181,3.341528297779476,5.228805926865332,3.7260664789286633,10 PM,18180,76,4.180418041804181,3.341528297779476,5.228805926865332
23,16504,6628,0.40159961221522056,0.39414416564366783,0.4091008570127162,40.15996122152205,39.41441656436678,40.91008570127162,True,70,4.241396025206011,3.3586904031820466,5.354841231383674,3.382563320585185,11 PM,16504,70,4.241396025206011,3.3586904031820466,5.354841231383674
