crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2021-01-01T00:00:00.000,2:00,QUEENS,11417.0,40.677547,-73.86194,"(40.677547, -73.86194)",,,106-27    75 STREET                     ,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,Unspecified,,4380787,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
2021-01-01T00:00:00.000,5:30,,,40.643787,-74.018845,"(40.643787, -74.018845)",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4380788,Sedan,,,,
2021-01-01T00:00:00.000,12:00,,,,,,HENRY HUDSON PARKWAY RAMP       ,,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,,,,,4380790,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,5:25,QUEENS,11368.0,40.736317,-73.857605,"(40.736317, -73.857605)",,,99-49     HORACE HARDING EXPRESSWAY     ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4380791,Pick-up Truck,,,,
2021-01-01T00:00:00.000,5:12,,,,,,TRIBOROUGH BRIDGE               ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4380792,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,2:21,QUEENS,11423.0,40.714607,-73.76573,"(40.714607, -73.76573)",195 PLACE                       ,90 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4380797,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
2021-01-01T00:00:00.000,11:30,,,,,,VANWYCK EXPRESSWAY              ,109 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4380799,Taxi,Sedan,,,
2021-01-01T00:00:00.000,2:30,QUEENS,11434.0,40.68882,-73.786354,"(40.68882, -73.786354)",,,162-01    LINDEN BOULEVARD              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4380800,Convertible,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
2021-01-01T00:00:00.000,5:10,,,40.628098,-74.11104,"(40.628098, -74.11104)",BEMENT AVENUE                   ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4380801,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,4:29,QUEENS,11375.0,40.731617,-73.85149,"(40.731617, -73.85149)",64 ROAD                         ,YELLOWSTONE BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4380803,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,7:40,BROOKLYN,11230.0,40.61196,-73.96816,"(40.61196, -73.96816)",OCEAN PARKWAY                   ,AVENUE O,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4380807,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,0:39,BROOKLYN,11236.0,40.637676,-73.8925,"(40.637676, -73.8925)",EAST 98 STREET                  ,AVENUE M,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4380809,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
